PGA,PGV,PGD,Ds-5-95,Ds-5-75,Sa (T=0.05 sec),Sa (T=0.1 sec),Sa (T=0.2 sec),Sa (T=0.3 sec),Sa (T=0.4 sec),Sa (T=0.5 sec),Sa (T=0.75 sec),Sa (T=1 sec),Sa (T=1.5 sec),Sa (T=2 sec),Sa (T=3 sec),Sa (T=4 sec),Sa (T=5 sec),Sa (T=7.5 sec),Sa (T=10 sec),CAV,ASI,DSI,failure state
1,94.01760533,41.95871346,11.24,6.74,1.082297004,2.029849366,2.604710978,2.279421239,3.326259277,2.929478141,1.904489034,0.775849498,0.391193373,0.304333449,0.234592916,0.159434592,0.115061373,0.059275417,0.03819786,3.593708372,1.034230092,176.4059585,0
1,153.7556143,53.64278129,15.3787,4.0687,1.031471958,1.353881641,2.244995137,1.800978708,1.477961107,1.737543491,1.618923916,1.689417554,2.170743388,1.361630102,0.513825021,0.241920278,0.133837254,0.077294047,0.032962623,3.049717096,0.544139319,251.1441846,0
1,178.1423354,72.52078461,20.5726,6.9977,1.057438215,1.275048811,3.098855456,2.530860232,1.87430204,1.744996089,2.573902571,1.464882035,1.730122975,1.215962606,0.60694568,0.398806543,0.393913827,0.117175557,0.039665441,4.307873361,0.615983614,403.5575128,0
1,218.0566864,184.7251072,7.49,5.605,1.047158002,1.137367876,2.145362575,1.886698749,1.95878481,2.056709522,1.810061086,1.10908725,0.546589028,0.491606324,0.41775197,0.6649585,0.577030342,0.284101992,0.183719775,2.262959402,0.515794761,493.7384691,0
1,199.9727314,179.972805,7.59,5.31,1.010557798,1.234838056,2.559651015,2.784100049,2.115341915,2.150283061,2.238057902,1.158875893,1.11041659,0.792797074,0.533930822,0.572512997,0.598600325,0.353202194,0.142297625,3.147003054,0.726463394,496.7458768,0
1,117.5572848,60.75295254,19.64,10.39,1.202665946,2.030556815,2.189495434,2.315569862,1.597981655,2.140292941,2.034287487,1.687147714,1.061749742,0.573180296,0.2163747,0.127987426,0.157516834,0.121861819,0.039772146,5.725284748,0.789616708,187.6267892,0
1,76.52756005,37.40436194,24.7,12.68,1.735257222,1.735182761,2.335529717,1.156341971,1.676912356,1.829529035,0.671705362,0.437898325,0.505269522,0.200150567,0.181336318,0.24212039,0.141377487,0.079950163,0.032958679,4.934225676,0.736247705,200.1849454,0
1,75.79803732,55.56365481,28.5,13.175,1.071795718,1.513901882,2.807657716,2.582226791,1.981651245,1.313934355,0.676100755,0.507412389,0.418466933,0.299296825,0.355114802,0.210437575,0.186103358,0.170938501,0.140023889,4.312734511,0.676291411,183.6946068,0
1,156.2643815,223.974324,24.88,12.065,0.99700736,1.654792291,3.243726394,2.984327848,2.419921907,2.26227429,0.788713935,0.885402832,0.451802241,0.277298068,0.209312986,0.236443883,0.282573086,0.202404885,0.199430913,4.92427027,0.715985856,206.0566822,0
1,60.8329924,15.0560727,14.135,4.477,1.705432428,2.843000634,4.409908031,1.25604153,1.562587509,1.341574829,0.848253197,0.775178017,0.328814033,0.183488263,0.073051691,0.047110349,0.030551395,0.013229673,0.00989898,2.665185283,0.816194463,56.0529278,0
1,32.09320491,5.738893242,13.981,3.949,1.388518978,2.012490961,1.409084485,1.512150403,1.311654078,0.960985959,0.495294086,0.36284217,0.206329161,0.075073572,0.042693703,0.023317296,0.013025244,0.010829578,0.008250264,2.298674372,0.628932883,27.24996047,0
1,117.9566028,43.21424424,12.8645,4.95,1.003132104,1.095142554,2.581890805,2.222770981,3.205877301,2.332001943,2.021688655,1.188170326,1.217484827,0.901626135,0.318740006,0.17076026,0.206011474,0.059646947,0.054702762,3.6574551,0.836527288,206.2182709,0
1,70.28327721,18.10003687,13.7445,4.9555,0.986741467,1.184366348,1.526763261,2.993351767,2.943723514,2.007361176,0.973981453,0.716181935,0.867259995,0.425060272,0.22534949,0.136322793,0.074669775,0.03327755,0.032443158,2.731321927,0.759045212,123.8501244,0
1,79.00619705,20.16139456,8.063,5.621,1.136036108,1.873670587,1.771466008,1.635611199,1.463316846,1.755465294,1.303226442,1.017326084,0.430973524,0.247104518,0.133494411,0.050633583,0.042821502,0.025794271,0.012130843,2.020306358,0.69813694,81.86306953,0
1,107.5351455,17.69846224,8.503,5.577,1.30059779,2.957800039,2.444374276,2.027988154,1.977035691,1.997917759,1.573363892,0.963564511,0.406720125,0.205654803,0.115227661,0.166834254,0.085747197,0.030496373,0.010663875,2.861334764,0.94561345,136.0160366,0
1,121.395987,48.59794857,10.714,8.437,1.170162405,1.349804083,2.104016461,2.105445933,2.431549656,3.677948942,1.02691781,0.868991928,1.173356086,0.666570076,0.261427591,0.178767049,0.110255592,0.043418122,0.020311874,3.707613908,0.972011803,210.3476737,0
1,119.1920598,87.38403088,12.298,7.249,1.107904543,1.315291166,2.056984872,1.59093322,1.543416811,1.743810031,1.219986215,1.119373022,1.242946199,0.557558541,0.253802127,0.167164669,0.116767966,0.115237235,0.071770329,3.216355231,0.734403827,193.0825512,0
1,228.111259,222.8436656,37.4748,23.5004,1.003142205,1.093543361,1.78991635,1.924278092,2.447911233,2.523937454,2.473492364,1.830974211,1.304682744,1.046685122,0.640059704,0.683015345,0.79278359,0.25440888,0.138757336,10.60173893,0.59349303,654.0763696,0
1,199.1109116,143.0153758,35.2748,19.8572,1.004619494,1.098119583,1.387046787,1.836992943,1.977964616,2.66779754,2.236097001,2.497737628,1.721733561,1.507076065,0.664698339,0.916012918,0.537178336,0.200039828,0.156480173,9.36130218,0.503316029,631.6087751,0
1,110.4912499,52.13419448,13.365,8.228,1.075597945,1.726581414,3.464038254,2.869172889,2.406660033,3.06484994,2.025726942,1.292267035,0.754238315,0.315880069,0.39157223,0.135395244,0.084714093,0.065126388,0.050438672,4.574150035,1.056678899,187.8035991,0
1,103.4193659,50.77004328,12.364,7.414,1.079862667,1.927801921,2.4532631,2.662799138,3.250747183,2.897730943,1.947863328,0.941768067,0.538534742,0.284553387,0.27294774,0.166181625,0.134196506,0.069923694,0.04364798,3.953079209,1.065815894,201.6261774,0
